game_id	quarter	q_time	q_time_remaining	team	event	score	team1_score	team2_score	team1_event_point	team2_event_point	player1	player2	action	action_what	foot_value	free_throw	point_info	player_secondary	action_secondary	team_action
401126832	1	00:00	12:00	sa	Nikola Jokic vs. Jakob Poeltl (LaMarcus Aldridge gains possession)	0 - 0	0	0	0	0	Nikola Jokic	Jakob Poeltl	vs.					LaMarcus Aldridge	gains possession	
401126832	1	00:20	11:40	sa	LaMarcus Aldridge misses 14-foot two point shot	0 - 0	0	0	0	0	LaMarcus Aldridge		misses	shot	14		two			
401126832	1	00:23	11:37	den	Gary Harris defensive rebound	0 - 0	0	0	0	0	Gary Harris		defensive rebound							
401126832	1	00:39	11:21	den	Paul Millsap misses 13-foot pullup jump shot	0 - 0	0	0	0	0	Paul Millsap		misses	pullup jump shot	13					
401126832	1	00:43	11:17	sa	Jakob Poeltl defensive rebound	0 - 0	0	0	0	0	Jakob Poeltl		defensive rebound							
401126832	1	00:55	11:05	sa	Derrick White bad pass (Gary Harris steals)	0 - 0	0	0	0	0	Derrick White		bad pass					Gary Harris	steals	
401126832	1	01:01	10:59	den	Jamal Murray makes 25-foot three pointer (Nikola Jokic assists)	3 - 0	3	0	3	0	Jamal Murray		makes	er	25		three	Nikola Jokic	assists	
401126832	1	01:13	10:47	sa	DeMar DeRozan makes driving floating jump shot	3 - 2	3	2	0	2	DeMar DeRozan		makes	driving floating jump shot						
401126832	1	01:28	10:32	den	Jamal Murray misses 18-foot pullup jump shot	3 - 2	3	2	0	0	Jamal Murray		misses	pullup jump shot	18					
401126832	1	01:31	10:29	sa	LaMarcus Aldridge defensive rebound	3 - 2	3	2	0	0	LaMarcus Aldridge		defensive rebound							
401126832	1	01:37	10:23	sa	Derrick White out of bounds bad pass turnover	3 - 2	3	2	0	0	Derrick White		turnover							
401126832	1	01:55	10:05	den	Bryn Forbes blocks Gary Harris 's 6-foot driving layup	3 - 2	3	2	0	0	Bryn Forbes	Gary Harris	blocks	driving layup	6					
401126832	1	02:00	10:00	den	Gary Harris offensive rebound	3 - 2	3	2	0	0	Gary Harris		offensive rebound							
401126832	1	02:00	10:00	den	Jakob Poeltl blocks Paul Millsap 's 4-foot driving layup	3 - 2	3	2	0	0	Jakob Poeltl	Paul Millsap	blocks	driving layup	4					
401126832	1	02:00	10:00	sa	Spurs defensive team rebound	3 - 2	3	2	0	0			defensive rebound	team						spurs
401126832	1	02:00	10:00	den	Torrey Craig loose ball foul	3 - 2	3	2	0	0	Torrey Craig		foul							
401126832	1	02:11	9:49	sa	DeMar DeRozan makes 17-foot pullup jump shot	3 - 4	3	4	0	2	DeMar DeRozan		makes	pullup jump shot	17					
401126832	1	02:25	9:35	den	Nikola Jokic misses layup	3 - 4	3	4	0	0	Nikola Jokic		misses	layup						
401126832	1	02:32	9:28	den	Nikola Jokic offensive rebound	3 - 4	3	4	0	0	Nikola Jokic		offensive rebound							
401126832	1	02:32	9:28	den	Nikola Jokic makes two point shot	5 - 4	5	4	2	0	Nikola Jokic		makes	shot			two			
401126832	1	02:46	9:14	den	Paul Millsap personal foul	5 - 4	5	4	0	0	Paul Millsap		foul							
401126832	1	02:55	9:05	sa	Derrick White misses 26-foot three point jumper	5 - 4	5	4	0	0	Derrick White		misses	jumper	26		three			
401126832	1	02:58	9:02	sa	Jakob Poeltl offensive rebound	5 - 4	5	4	0	0	Jakob Poeltl		offensive rebound							
401126832	1	03:04	8:56	sa	LaMarcus Aldridge misses 9-foot two point shot	5 - 4	5	4	0	0	LaMarcus Aldridge		misses	shot	9		two			
401126832	1	03:08	8:52	den	Nikola Jokic defensive rebound	5 - 4	5	4	0	0	Nikola Jokic		defensive rebound							
401126832	1	03:17	8:43	den	Jamal Murray misses 15-foot pullup jump shot	5 - 4	5	4	0	0	Jamal Murray		misses	pullup jump shot	15					
401126832	1	03:20	8:40	sa	LaMarcus Aldridge defensive rebound	5 - 4	5	4	0	0	LaMarcus Aldridge		defensive rebound							
401126832	1	03:20	8:40	sa	DeMar DeRozan out of bounds lost ball turnover	5 - 4	5	4	0	0	DeMar DeRozan		turnover							
401126832	1	03:26	8:34	den	Nikola Jokic misses 10-foot two point shot	5 - 4	5	4	0	0	Nikola Jokic		misses	shot	10		two			
401126832	1	03:28	8:32	sa	Jakob Poeltl defensive rebound	5 - 4	5	4	0	0	Jakob Poeltl		defensive rebound							
401126832	1	03:39	8:21	sa	Bryn Forbes makes 25-foot three point jumper (LaMarcus Aldridge assists)	5 - 7	5	7	0	3	Bryn Forbes		makes	jumper	25		three	LaMarcus Aldridge	assists	
401126832	1	03:50	8:10	den	Nikola Jokic makes driving floating jump shot	7 - 7	7	7	2	0	Nikola Jokic		makes	driving floating jump shot						
401126832	1	04:09	7:51	sa	Derrick White makes two point shot	7 - 9	7	9	0	2	Derrick White		makes	shot			two			
